http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10775    0.082    0.000    2.938    0.000 /home/pdf/workspace/OLPC/umerist.py:178(traverseActivity)
    29340    0.076    0.000    0.076    0.000 /home/pdf/workspace/OLPC/u3dexport.py:210(getInfoForDXFPartType)
     8306    0.072    0.000    0.151    0.000 /home/pdf/workspace/OLPC/ufruit.py:99(traverseActivity)
    42099    0.070    0.000    0.429    0.000 /home/pdf/workspace/OLPC/uturtle.py:502(rotateZ)
     4025    0.068    0.000    0.250    0.000 /home/pdf/workspace/OLPC/uintern.py:117(nextDay)
     4025    0.066    0.000    0.116    0.000 /home/pdf/workspace/OLPC/uintern.py:324(calculateDistanceFromFirstPhytomer)
    36845    0.064    0.000    0.384    0.000 /home/pdf/workspace/OLPC/uturtle.py:499(rotateY)
    31884    0.059    0.000    0.349    0.000 /home/pdf/workspace/OLPC/uturtle.py:496(rotateX)
     7699    0.057    0.000    0.096    0.000 /home/pdf/workspace/OLPC/usupport.py:688(darkerColor)
      613    0.050    0.000    2.745    0.004 /home/pdf/workspace/OLPC/umerist.py:510(draw)
    18331    0.049    0.000    0.049    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:226(move)
    48878    0.043    0.000    0.043    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:466(drawLinesColor)
    26575    0.042    0.000    0.042    0.000 /home/pdf/workspace/OLPC/uturtle.py:485(pop)
    15037    0.042    0.000    0.164    0.000 /home/pdf/workspace/OLPC/upart.py:549(longNameForDXFPartConsideringGenderEtc)
    38113    0.042    0.000    0.042    0.000 /home/pdf/workspace/OLPC/umath.py:230(safedivExcept)
    27826    0.041    0.000    0.041    0.000 /home/pdf/workspace/OLPC/uturtle.py:173(setLineWidth)
     1796    0.040    0.000    3.166    0.002 /home/pdf/workspace/OLPC/uleaf.py:305(DrawLeafOrLeaflet)
    14303    0.039    0.000    0.141    0.000 /home/pdf/workspace/OLPC/upart.py:554(shortNameForDXFPartConsideringGenderEtc)
    48878    0.038    0.000    0.038    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:452(visibleSurfaceColor)
    18331    0.038    0.000    0.751    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:139(drawLineFromTo)
    11272    0.037    0.000    0.037    0.000 /home/pdf/workspace/OLPC/ufruit.py:251(dxfIndexForFloralLayerType)
     6984    0.035    0.000    0.041    0.000 /home/pdf/workspace/OLPC/ufruit.py:54(nextDay)
     1123    0.033    0.000    5.653    0.005 /home/pdf/workspace/OLPC/uinflor.py:441(drawFlower)
    15037    0.028    0.000    0.069    0.000 /home/pdf/workspace/OLPC/u3dexport.py:192(longNameForDXFPartType)
     4313    0.027    0.000    0.055    0.000 /home/pdf/workspace/OLPC/uintern.py:25(__init__)
     7699    0.027    0.000    0.027    0.000 /home/pdf/workspace/OLPC/uturtle.py:334(clearRecording)
    19891    0.024    0.000    0.024    0.000 /home/pdf/workspace/OLPC/delphi_compatability.py:36(__init__)
    10438    0.024    0.000    0.024    0.000 /home/pdf/workspace/OLPC/conversion_common.py:87(trunc)
